lng,lat
-122.3227,37.56457277
-122.3227403,37.56663399
-122.3247023,37.56770019
-122.326254,37.56345124
-122.3197348,37.56489593
-122.3204168,37.56555181
-122.3204362,37.5644856
-122.3211323,37.56507452
-122.1925685,47.61821157
-122.197519,47.61161
-122.2030458,47.61830737
-122.2030601,47.61865188
-122.3342989,47.5834369
-122.3345152,47.57774828
-122.3341779,47.58943624
-122.3286806,47.60489124
-122.2950634,47.45066934
-122.2963162,47.447289
-122.352585,47.65184276
-122.3568936,47.65195768
-122.3420507,47.64932141
-122.3124322,47.61528489
-122.3133573,47.61528894
-122.3127445,47.61917042
-122.3113776,47.62132564
-122.3302989,47.61880525
-122.3337449,47.60768859
-122.317429,47.592884
-122.3829971,47.66945072
-122.3329731,47.60281095
-122.469428,37.67688383
-122.0967635,37.42165179
-122.4225031,37.63884063
-122.2460522,37.50160719
-122.0193984,37.35706211
-122.2618872,47.44590338
-122.254354,47.45824218
-122.3113776,47.62132835
-122.4047878,37.64928725
-121.9744353,37.39159361
-122.4995422,37.78485159
-122.3168288,47.6134041
-122.314241,47.61496689
-122.3943829,37.79579256
-122.3948581,37.79637364
-122.3344104,47.60841675
-122.2016335,47.6184151
-122.2009322,47.61608808
-122.1936008,47.61268601
-122.2015496,47.61508585
-122.4031384,37.79283333
-121.966628,37.387523
-122.315584,47.614284
-122.316607,47.614171
-122.382329,47.665734
-122.318055,47.612498
-122.327084,47.630946
-122.3244,47.679134
-122.324045,47.679117
-122.318098,47.615431
-122.31418,47.614247
-122.326469,47.678666
-122.316611,47.61405
-122.382564,47.666699
-122.319418,47.618727
-122.32633,47.605544
-122.383336,47.666373
-122.314077,47.613902
-122.315381,47.614051
-122.320115,47.617785
-122.316962,47.615441
-122.320077,47.615439
-122.314042,47.615233
-122.383379,47.666246
-122.384221,47.668318
-122.327393,47.630522
-122.312729,47.614667
-122.31561,47.613998
-122.384831,47.667008
-122.315367,47.613352
-122.327966,47.678271
-122.382783,47.667329
-122.330159,47.618561
-122.314504,47.615237
-122.314159,47.613086
-122.316774,47.61541
-122.314409,47.615335
-122.318199,47.613471
-122.33113,47.600774
-122.314308,47.614535
-122.320102,47.616934
-122.383413,47.666494
-122.316068,47.615223
-122.382546,47.666822
-122.314302,47.613493
-122.0326346,37.37552655
-122.4750839,37.72693162
-122.0330835,37.37404053
-122.033323,37.37359
-122.0290493,37.37685731
-122.0279711,37.3766418
-122.0338812,37.37896623
-122.033888,37.379021
-122.0339244,37.37943754
-122.033581,37.380492
-122.0155266,37.3329013
-122.274069,37.56027873
-122.1187505,37.40498156
-122.1158202,37.40247828
-122.3903528,37.60128087
-122.2501903,37.51842852
-122.395656,37.66510345
-122.394291,37.66668096
-122.4196161,37.62992176
-122.2544891,37.51347386
-121.9178364,37.36627313
-121.9173256,37.37114933
-121.9141888,37.36599964
-121.9142009,37.36600178
-121.9729681,37.31935101
-122.3002372,37.55678757
-122.2824973,37.5562313
-121.9794286,37.38292959
-122.0391345,37.36912365
-121.9881709,37.3881593
-121.997887,37.38564017
-73.98296834,40.76423987
-73.97836126,40.7665394
-73.97519997,40.76525301
-122.2960347,47.42595773
-122.3154096,47.66190445
-122.2792793,37.56208857
-122.2261101,37.49593358
-122.056447,37.37317011
-73.98239021,40.76437891
-122.3409892,47.61055724
-122.3338509,47.60711749
-122.4034065,37.79375294
-122.3995158,37.63277012
-122.38596,37.616621
-122.393466,37.615607
-122.392661,37.613678
-122.386177,37.616791
-122.385436,37.616366
-122.196341,47.61781914
-122.1988869,47.613108
-122.384475,47.666722
-122.3332484,47.59764703
-122.201764,47.615168
-73.98156746,40.76527674
-122.1636491,37.44076308
-122.163527,37.44061933
-122.db_port38,47.60605526
-122.3162721,47.6092325
-122.3304378,47.62137762
-122.3198874,47.62484006
-122.327657,47.608807
-122.3247652,47.6035673
-122.3284223,47.60203644
-122.329915,47.61856
-122.3959689,37.79710736
-122.4350175,37.76161746
-122.4355332,37.76088961
-122.4665228,37.78236432
-122.4675782,37.78210941
-122.4772435,37.77991796
-122.4810543,37.78035201
-122.4641061,37.76345004
-122.4652279,37.76364035
-122.4782735,37.76393509
-122.472441,37.7313719
-122.474562,37.73223581
-122.4652433,37.7406288
-122.467947,37.73903534
-122.4331085,37.75132773
-122.3821434,47.66929542
-122.3481208,47.6131526
-122.3469663,47.61249905
-122.3446527,47.61228712
-122.3455888,47.61284899
-122.3214066,47.61298994
-122.3410844,47.61252644
-122.3407388,47.61228005
-122.3293752,47.60223814
-122.3457582,47.61524356
-122.3450736,47.61602186
-122.325294,47.6396703
-122.3274468,47.60682165
-122.3471069,47.6491879
-122.348756,47.65037252
-122.3447341,47.64846579
-122.3460673,47.64866947
-122.3475872,47.64844023
-122.351734,47.64990168
-122.3550624,47.65155181
-122.3276517,47.60105237
-122.3250688,47.5998409
-122.3588029,47.6246126
-122.35853,47.62571452
-122.3353674,47.59034427
-122.3342676,47.59206814
-122.3339988,47.59377037
-122.327904,47.60086271
-122.3351313,47.59237106
-122.3341805,47.57828809
-122.3341818,47.58085814
-122.3341195,47.58258995
-122.341194,47.61496633
-122.3426464,47.61586116
-122.3418627,47.6164817
-122.3329361,47.60708718
-122.329124,47.60532578
-122.3328452,47.60105723
-122.3264713,47.60742723
-122.322166,47.61775633
-122.3221734,47.61706452
-122.3207967,47.61351819
-122.4005558,37.79366235
-122.400808,37.79361625
-122.4036223,37.79372647
-122.4041138,37.79366394
-122.489016,37.749849
-122.46506,37.762121
-122.483004,37.754096
-122.46db_port,37.765161
-122.485937,37.751854
-122.483138,37.755941
-122.488058,37.751757
-122.462311,37.766021
-122.48583,37.748336
-122.45751,37.709488
-122.485638,37.748304
-122.487419,37.755752
-122.463244,37.764108
-122.465632,37.70932
-122.46401,37.760301
-122.453398,37.709165
-122.480706,37.753927
-122.484015,37.755861
-122.460588,37.709745
-122.452999,37.708846
-122.45091,37.70951
-122.488286,37.751788
-122.470516,37.708729
-122.454708,37.710212
-122.468103,37.709501
-122.462947,37.760349
-122.457742,37.709687
-122.457557,37.709915
-122.45542,37.708802
-122.461985,37.762249
-122.46111,37.764356
-122.480771,37.752123
-122.457849,37.764525
-122.485899,37.752035
-122.465135,37.760431
-122.484079,37.754048
-122.465834,37.708279
-122.486351,37.755799
-122.45672,37.7103
-122.464285,37.709695
-122.486249,37.753727
-122.449792,37.708419
-122.45593,37.708452
-122.463121,37.762389
-122.460811,37.762789
-122.46063,37.710274
-122.46186,37.708586
-122.460153,37.766127
-122.457954,37.765398
-122.470377,37.708749
-122.487263,37.755539
-122.466312,37.762098
-122.447786,37.709135
-122.449965,37.708383
-122.463851,37.760308
-122.468555,37.764066
-122.488996,37.750029
-122.460396,37.709556
-122.464456,37.709087
-122.467165,37.762225
-122.460103,37.765302
-122.459892,37.763025
-122.464437,37.765927
-122.465744,37.708286
-122.469351,37.708749
-122.483897,37.754023
-122.48165,37.752043
-122.45897,37.765225
-122.463061,37.762225
-122.46443,37.70972
-122.488156,37.749925
-122.455863,37.709181
-122.455272,37.708691
-122.455784,37.709321
-122.488378,37.753867
-122.459023,37.709565
-122.459034,37.766138
-122.486042,37.753929
-122.487066,37.749973
-122.46253,37.709742
-122.486067,37.753702
-122.468788,37.706715
-122.486198,37.755586
-122.459026,37.76535
-122.457086,37.709935
-122.464143,37.762184
-122.460378,37.710281
-122.450408,37.709461
-122.483763,37.752129
-122.480539,37.752271
-122.484207,37.755894
-122.487026,37.750154
-122.458307,37.709131
-122.446224,37.70875
-122.483947,37.752162
-122.452583,37.708721
-122.480889,37.753963
-122.461624,37.708604
-122.486873,37.749941
-122.461266,37.709118
-122.484993,37.753749
-122.489339,37.751742
-122.464422,37.709
-122.487313,37.75368
-122.46205,37.762436
-122.466268,37.762067
-122.461718,37.760377
-122.46003,37.764249
-122.46493,37.760234
-122.450285,37.709772
-122.466601,37.708286
-122.46168,37.708678
-122.486223,37.753954
-122.481513,37.750196
-122.46211,37.765984
-122.462239,37.765208
-122.464242,37.765903
-122.462682,37.708237
-122.467656,37.765796
-122.453992,37.708461
-122.464168,37.762203
-122.481612,37.752224
-122.453149,37.709184
-122.46444,37.709183
-122.453782,37.70969
-122.458203,37.708889
-122.44731,37.708255
-122.458831,37.765223
-122.488318,37.755492
-122.488018,37.751938
-122.462499,37.708197
-122.487112,37.753882
-122.469245,37.708739
-122.457649,37.709408
-122.459305,37.709635
-122.484825,37.752082
-122.457867,37.764354
-122.447645,37.709154
-122.458895,37.766135
-122.459905,37.76519
-122.452297,37.708292
-122.453985,37.709587
-122.482873,37.752204
-122.487226,37.755719
-122.489116,37.75189
-122.461211,37.70919
-122.486091,37.752064
-122.466131,37.762082
-122.446452,37.708813
-122.462978,37.76053
-122.465199,37.762123
-122.459086,37.710678
-122.465169,37.760292
-122.457621,37.764912
-122.451081,37.709501
-122.487195,37.751837
-122.458447,37.709063
-122.457927,37.709645
-122.447615,37.709027
-122.483923,37.753797
-122.48268,37.752177
-122.48303,37.753869
-122.453325,37.709076
